"centralCoh","peripheralCoh","direction","order","block.thisRepN","block.thisTrialN","block.thisN","block.thisIndex","etRecord.started","etRecord.stopped","text.started","text.stopped","dots.started","roi.started","text_4.started","dots.stopped","roi.stopped","text_4.stopped","outframe1","roi.numLooks","roi.timesOn","roi.timesOff","fix2.started","dots_2.started","roi_2.started","text_5.started","outframe2","roi_2.numLooks","roi_2.timesOn","roi_2.timesOff","key_resp.started","text_2.started","key_resp.keys","key_resp.rt","resp_dir_TorF","key_resp_2.started","text_3.started","key_resp_2.keys","key_resp_2.rt","resp_center_is_more_coherent","fix2.stopped","dots_2.stopped","roi_2.stopped","text_5.stopped","etRecord_2.started","etRecord_2.stopped","participantNo","blockNo","date","expName","psychopyVersion","frameRate","source_file","text_6.started","text_6.stopped","speed"
0.8,0.2,"down","periphFirst",0,0,0,41,0.00608300000004647,0.00608300000004647,51.313624,52.8156645,52.8156645,52.8156645,52.8156645,53.1159088,53.1159088,53.1159088,15,3,"[0.0010841999999797736, 0.03329400000001215, 0.2834649999999783]","[0.01649520000000848, 0.049833799999987605, 0.3001107000000047]",53.1159088,53.4160896,53.4160896,53.4160896,1,2,"[0.0011026000000242675, 0.13420020000000932]","[0.11670720000000756, 0.2838623000000098]",53.7167616,53.7167616,"up",0.517914300000001,0,54.2670809,54.2670809,"right",1.98357230000002,1,NA,NA,NA,NA,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
0.2,0.9,"up","periphFirst",0,1,1,14,0.000362999999993008,0.000362999999993008,56.269071,57.7706333,57.7706333,57.7706333,57.7706333,58.070816,58.070816,58.070816,0,1,"[0.0007823000000257707]","[0.30007530000000315]",58.070816,58.371148,58.371148,58.371148,0,1,"[0.0007620000000088112]","[0.2836855999999557]",58.6715312,58.6715312,"up",0.778560800000008,1,59.4723499,59.4723499,"left",0.665603199999993,0,58.371148,NA,NA,NA,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
0.2,0.5,"up","periphFirst",0,2,2,8,0.000221699999997327,0.000221699999997327,60.1560575,61.6576082,61.6576082,61.6576082,61.6576082,NA,NA,NA,0,1,"[0.000766800000008061]","[0.2838051000000519]",61.9581841,62.2584208,62.2584208,62.2584208,5,4,"[0.0009034999999926185, 0.06717709999998078, 0.13381270000002132, 0.2840524000000073]","[0.05019989999999552, 0.10058750000001737, 0.2506521000000248, 0.2840575999999828]",62.5588791,62.5588791,"down",0.659135099999986,0,63.2428595,63.2428595,"left",1.40744630000003,0,NA,NA,NA,NA,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
0.2,0.8,"down","periphFirst",0,3,3,13,0.000326900000004571,0.000326900000004571,64.6776477,66.1790749,66.1790749,66.1790749,66.1790749,66.4793685,66.4793685,66.4793685,2,2,"[0.016526600000020153, 0.26677469999998493]","[0.24973340000002509, 0.3001355000000103]",66.4793685,66.7796872,66.7796872,66.7796872,1,2,"[0.0008123000000068714, 0.26672990000002983]","[0.2503318000000263, 0.2835264999999936]",67.08002,67.08002,"up",0.786592200000001,0,67.8975466,67.8975466,"right",0.985033299999969,1,66.7796872,NA,NA,NA,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
0.5,0.5,"up","centerFirst",0,4,4,26,0.000330799999971987,0.000330799999971987,68.9150664,70.4170099,70.4170099,70.4170099,70.4170099,70.7172356,70.7172356,70.7172356,3,4,"[0.0026561999999898944, 0.09996380000001182, 0.13333440000002383, 0.26544450000000097]","[0.08239770000000135, 0.11570299999999634, 0.23177689999999984, 0.29897679999999127]",70.7172356,71.01721,71.01721,71.01721,2,2,"[0.0004466999999976906, 0.1338931999999886]","[0.10024549999997134, 0.3007627999999727]",71.3176341,71.3176341,"up",0.885595600000016,1,72.2354422,72.2354422,"left",0.710813699999989,1,71.01721,71.3176341,71.3176341,71.3176341,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
0.8,0.5,"up","periphFirst",0,5,5,44,0.000683499999979631,0.000683499999979631,72.9690425,74.4705931,74.4705931,74.4705931,74.4705931,74.7708786,74.7708786,74.7708786,2,2,"[0.0007623000000194224, 0.06656860000003917]","[0.03282319999999572, 0.30019280000004755]",74.7708786,75.0712713,75.0712713,75.0712713,1,1,"[0.0009222999999565218]","[0.2839558000000011]",75.3716349,75.3716349,"up",1.15089939999999,1,76.5397538,76.5397538,"right",1.1027038,1,NA,NA,NA,NA,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
0.8,0.5,"down","centerFirst",0,6,6,45,0.00116339999999582,0.00116339999999582,77.6740879,79.1753533,79.1753533,79.1753533,79.1753533,79.4756543,79.4756543,79.4756543,3,3,"[0.0007940999999505038, 0.20125589999997828, 0.2513305999999602]","[0.18397039999996423, 0.2347319999999513, 0.30138239999996586]",79.4756543,79.7759842,79.7759842,79.7759842,4,3,"[0.0020848000000341926, 0.15076279999999542, 0.2174388000000249]","[0.1332570000000146, 0.1840726000000359, 0.28371179999999185]",80.0763505,80.0763505,"down",0.494451999999995,1,80.5935521,80.5935521,"left",1.71309440000002,1,NA,NA,NA,NA,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
0.8,0,"down","periphFirst",0,7,7,37,0.000483900000006088,0.000483900000006088,82.3284877,83.8299968,83.8299968,83.8299968,83.8299968,84.1302959,84.1302959,84.1302959,5,6,"[0.0012876999999775762, 0.06642549999997982, 0.16613630000000512, 0.19950310000001537, 0.2495804999999791, 0.2830222000000049]","[0.049619099999972605, 0.14944609999997738, 0.18254860000001827, 0.2328448000000094, 0.26628410000000713, 0.2995230999999876]",84.1302959,84.4306002,84.4306002,84.4306002,1,2,"[0.0008068000000207576, 0.1665283000000386]","[0.14954050000000052, 0.2834711000000425]",84.7309903,84.7309903,"up",1.39186179999999,0,86.1491902,86.1491902,"right",0.854060500000031,1,84.4306002,NA,NA,NA,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
0.2,0.65,"up","centerFirst",0,8,8,10,0.00111120000002529,0.00111120000002529,87.033497,88.5346112,88.5346112,88.5346112,88.5346112,88.8349205,88.8349205,88.8349205,0,1,"[0.0007506000000034874]","[0.3002946999999949]",88.8349205,89.1352536,89.1352536,89.1352536,0,1,"[0.00087079999997286]","[0.28404569999997875]",89.4357086,89.4357086,"down",0.622549899999996,0,90.0864031,90.0864031,"right",0.572493600000058,0,NA,NA,NA,NA,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
0.8,0.1,"up","periphFirst",0,9,9,38,0.000336000000004333,0.000336000000004333,90.6867229,92.1883985,92.1883985,92.1883985,92.1883985,92.4886811,92.4886811,92.4886811,6,3,"[0.04987310000001344, 0.09954069999997728, 0.19995679999999538]","[0.0827891000000136, 0.16628190000000131, 0.300114399999984]",92.4886811,92.7890178,92.7890178,92.7890178,10,2,"[0.002694700000006378, 0.18374990000000935]","[0.11649040000003197, 0.19999100000001135]",93.0894147,93.0894147,"down",0.649976100000032,0,93.7568937,93.7568937,"right",0.622614099999993,1,NA,NA,NA,NA,NA,NA,1,1,"2025-09-29_14h39.25.465","paired","2022.2.4",59.9442398680697,"paired_1_1_10.csv",NA,NA,6
